2024-08-02 19:09:34 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-03 22:39:38 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-03 22:39:39 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14604, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-03 22:39:39 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-03 22:55:29 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-03 22:55:30 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 11896, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-03 22:55:30 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-08 06:24:22 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-08 06:24:24 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12376, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-08 06:24:24 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'
2024-08-08 06:51:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12376, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-08 06:51:36 *ERROR*      Can not attach to the process.
An invalid Client ID was specified.

2024-08-08 06:51:39 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12376, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-08 06:51:39 *ERROR*      Can not attach to the process.
An invalid Client ID was specified.


2024-08-08 06:51:42 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-08 06:51:44 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8620, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-08 06:51:44 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-08 13:52:30 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-08 13:52:32 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13784, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-08 13:52:32 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-11 14:59:14 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-11 14:59:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16104, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-11 14:59:16 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-08-11 15:02:59 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-08-11 15:03:00 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15808, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-08-11 15:03:00 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-09-01 11:35:46 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-01 11:35:46 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu .dll" is not a valid PE image
2024-09-01 11:35:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 17216, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-01 11:35:50 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu (2).dll'

2024-09-13 21:48:17 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-13 21:48:17 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu (2).dll" is not a valid PE image
